season,player,team,position,games_played,minutes_played,fga,fgm,fg_pct,three_att,three_made,three_pct,two_att,two_made,two_pct,points,ppg,ts_pct,efg_pct,usg_pct,per,paint_attempts,paint_makes,paint_pct,mid_attempts,mid_makes,mid_pct,three_attempts,three_makes,three_pct_detail,overall_rating
2024,Victor Paul,ATL,C,57,1443,1344,345,0.257,495,93,0.188,849,252,0.297,783,13.7,0.251,0.291,0.35,12.2,394,144,0.365,455,108,0.237,495,93,0.188,72.8
2024,Cade Irving,ATL,SF,57,1441,1395,318,0.228,496,97,0.196,899,221,0.246,733,12.9,0.227,0.263,0.35,11.0,411,110,0.268,488,111,0.227,496,97,0.196,67.5
2024,Paolo Jokic,ATL,C,29,685,612,152,0.248,202,38,0.188,410,114,0.278,342,11.8,0.244,0.279,0.35,10.8,203,58,0.286,207,56,0.271,202,38,0.188,64.0
2024,Paolo Green,ATL,SF,29,776,667,138,0.207,250,37,0.148,417,101,0.242,313,10.8,0.201,0.235,0.35,10.4,189,55,0.291,228,46,0.202,250,37,0.148,67.0
2024,Jayson George,ATL,SF,29,701,599,142,0.237,206,49,0.238,393,93,0.237,333,11.5,0.241,0.278,0.35,11.3,185,61,0.33,208,32,0.154,206,49,0.238,68.1
2024,LeBron Curry,ATL,PF,29,706,724,159,0.22,260,34,0.131,464,125,0.269,352,12.1,0.21,0.243,0.35,11.2,217,83,0.382,247,42,0.17,260,34,0.131,71.1
2024,Damian Durant,ATL,SF,57,1330,1355,277,0.204,486,82,0.169,869,195,0.224,636,11.2,0.203,0.235,0.35,11.4,366,104,0.284,503,91,0.181,486,82,0.169,73.3
2024,Jaylen Banchero,ATL,C,29,663,733,196,0.267,256,23,0.09,477,173,0.363,415,14.3,0.245,0.283,0.35,12.4,208,84,0.404,269,89,0.331,256,23,0.09,74.4
2024,Cade Garland,ATL,PG,29,823,670,161,0.24,225,38,0.169,445,123,0.276,360,12.4,0.234,0.269,0.35,11.2,205,62,0.302,240,61,0.254,225,38,0.169,68.1
2024,Luka Bane,BOS,SG,29,712,706,215,0.305,256,66,0.258,450,149,0.331,496,17.1,0.303,0.351,0.35,14.7,211,83,0.393,239,66,0.276,256,66,0.258,82.3
2024,Bam Embiid,BOS,SG,29,655,704,162,0.23,240,41,0.171,464,121,0.261,365,12.6,0.225,0.259,0.35,12.6,201,65,0.323,263,56,0.213,240,41,0.171,78.8
2024,Cade Towns,BOS,C,57,1346,1254,289,0.23,416,72,0.173,838,217,0.259,650,11.4,0.226,0.259,0.35,12.0,385,113,0.294,453,104,0.23,416,72,0.173,74.8
2024,Jaylen Banchero,BOS,C,29,791,733,196,0.267,256,23,0.09,477,173,0.363,415,14.3,0.245,0.283,0.35,11.8,208,84,0.404,269,89,0.331,256,23,0.09,70.7
2024,Darius Garland,BOS,C,29,779,655,169,0.258,219,44,0.201,436,125,0.287,382,13.2,0.254,0.292,0.35,13.0,212,73,0.344,224,52,0.232,219,44,0.201,77.2
2024,Cade Irving,BOS,SG,57,1377,1395,318,0.228,496,97,0.196,899,221,0.246,733,12.9,0.227,0.263,0.35,13.3,411,110,0.268,488,111,0.227,496,97,0.196,83.0
2024,Paolo Harden,BOS,SF,29,724,723,199,0.275,257,44,0.171,466,155,0.333,442,15.2,0.264,0.306,0.35,14.2,208,76,0.365,258,79,0.306,257,44,0.171,84.2
2024,James Thompson,BOS,PF,29,627,623,173,0.278,238,41,0.172,385,132,0.343,387,13.3,0.266,0.311,0.35,13.7,184,81,0.44,201,51,0.254,238,41,0.172,80.4
2024,Nikola Cunningham,BOS,PG,29,690,657,147,0.224,238,54,0.227,419,93,0.222,348,12.0,0.228,0.265,0.35,12.1,214,52,0.243,205,41,0.2,238,54,0.227,74.8
2024,Paul Adebayo,BOS,SG,29,798,654,167,0.255,217,48,0.221,437,119,0.272,382,13.2,0.255,0.292,0.35,13.0,219,73,0.333,218,46,0.211,217,48,0.221,77.1
2024,Evan Wembanyama,BKN,C,29,672,663,127,0.192,248,48,0.194,415,79,0.19,302,10.4,0.196,0.228,0.35,8.6,175,29,0.166,240,50,0.208,248,48,0.194,56.2
2024,Donovan Butler,BKN,C,29,719,710,138,0.194,268,40,0.149,442,98,0.222,316,10.9,0.191,0.223,0.35,9.4,218,55,0.252,224,43,0.192,268,40,0.149,61.7
2024,LeBron Embiid,BKN,PG,29,717,648,121,0.187,239,30,0.126,409,91,0.222,272,9.4,0.181,0.21,0.35,9.0,178,45,0.253,231,46,0.199,239,30,0.126,60.7
2024,Draymond Lillard,BKN,SG,29,659,652,113,0.173,202,20,0.099,450,93,0.207,246,8.5,0.166,0.189,0.35,8.6,192,44,0.229,258,49,0.19,202,20,0.099,59.6
2024,Darius Wiggins,BKN,SF,29,708,739,141,0.191,241,36,0.149,498,105,0.211,318,11.0,0.188,0.215,0.35,9.7,257,61,0.237,241,44,0.183,241,36,0.149,63.9
2024,Donovan Brown,BKN,C,29,709,647,140,0.216,229,31,0.135,418,109,0.261,311,10.7,0.208,0.24,0.35,9.2,189,70,0.37,229,39,0.17,229,31,0.135,58.5
2024,James Butler,BKN,SF,29,792,610,100,0.164,213,27,0.127,397,73,0.184,227,7.8,0.161,0.186,0.35,8.1,179,38,0.212,218,35,0.161,213,27,0.127,57.1
2024,Jayson Paul,BKN,PG,29,659,665,136,0.205,241,50,0.207,424,86,0.203,322,11.1,0.209,0.242,0.35,8.6,174,39,0.224,250,47,0.188,241,50,0.207,54.4
2024,Devin Gobert,CHA,SG,57,1467,1274,241,0.189,443,77,0.174,831,164,0.197,559,9.8,0.19,0.219,0.35,8.7,383,97,0.253,448,67,0.15,443,77,0.174,57.1
2024,Karl-Anthony Tatum,CHA,SG,29,791,674,127,0.188,223,44,0.197,451,83,0.184,298,10.3,0.193,0.221,0.35,7.8,216,45,0.208,235,38,0.162,223,44,0.197,51.0
2024,Klay Davis,CHA,SF,29,765,658,123,0.187,237,40,0.169,421,83,0.197,286,9.9,0.188,0.217,0.35,8.1,196,42,0.214,225,41,0.182,237,40,0.169,53.4
2024,Donovan Irving,CHA,SG,57,1405,1384,279,0.202,491,95,0.193,893,184,0.206,653,11.5,0.204,0.236,0.35,9.3,429,102,0.238,464,82,0.177,491,95,0.193,59.2
2024,Jaylen George,CHA,PG,29,705,726,129,0.178,249,40,0.161,477,89,0.187,298,10.3,0.178,0.205,0.35,8.4,235,45,0.191,242,44,0.182,249,40,0.161,56.8
2024,Nikola Wiggins,CHA,PF,57,1382,1241,244,0.197,407,58,0.143,834,186,0.223,546,9.6,0.192,0.22,0.35,8.0,384,106,0.276,450,80,0.178,407,58,0.143,52.0
2024,Luka Doncic,CHA,PF,29,754,615,116,0.189,216,41,0.19,399,75,0.188,273,9.4,0.192,0.222,0.35,8.0,188,51,0.271,211,24,0.114,216,41,0.19,52.5
2024,Cade Embiid,CHA,SF,29,698,647,132,0.204,233,37,0.159,414,95,0.229,301,10.4,0.201,0.233,0.35,8.4,186,62,0.333,228,33,0.145,233,37,0.159,54.0
2024,Darius Green,CHA,SF,29,790,610,87,0.143,221,34,0.154,389,53,0.136,208,7.2,0.147,0.17,0.35,7.2,180,33,0.183,209,20,0.096,221,34,0.154,53.1
2024,Cade Davis,CHI,C,29,629,690,164,0.238,244,44,0.18,446,120,0.269,372,12.8,0.233,0.27,0.35,10.7,211,65,0.308,235,55,0.234,244,44,0.18,64.9
2024,James Tatum,CHI,PG,29,634,653,133,0.204,228,28,0.123,425,105,0.247,294,10.1,0.195,0.225,0.35,9.6,186,60,0.323,239,45,0.188,228,28,0.123,62.8
2024,Paul Davis,CHI,PG,29,792,618,102,0.165,213,40,0.188,405,62,0.153,244,8.4,0.171,0.197,0.35,9.0,194,28,0.144,211,34,0.161,213,40,0.188,62.1
2024,LeBron Barnes,CHI,C,29,679,1331,287,0.216,452,72,0.159,879,215,0.245,646,22.3,0.211,0.243,0.35,10.0,402,120,0.299,477,95,0.199,452,72,0.159,63.4
2024,LeBron Barnes,CHI,PF,29,782,1331,287,0.216,452,72,0.159,879,215,0.245,646,22.3,0.211,0.243,0.35,10.0,402,120,0.299,477,95,0.199,452,72,0.159,63.2
2024,Scottie Gobert,CHI,SG,29,676,686,144,0.21,244,44,0.18,442,100,0.226,332,11.4,0.209,0.242,0.35,10.6,220,72,0.327,222,28,0.126,244,44,0.18,67.3
2024,Damian Thompson,CHI,PF,29,637,657,119,0.181,200,34,0.17,457,85,0.186,272,9.4,0.183,0.207,0.35,9.1,217,40,0.184,240,45,0.188,200,34,0.17,61.3
2024,Desmond Garland,CHI,SF,29,714,650,140,0.215,212,42,0.198,438,98,0.224,322,11.1,0.217,0.248,0.35,10.0,215,73,0.34,223,25,0.112,212,42,0.198,62.3
2024,LaMelo Jackson Jr.,CLE,SF,29,671,633,140,0.221,226,38,0.168,407,102,0.251,318,11.0,0.217,0.251,0.35,10.6,179,76,0.425,228,26,0.114,226,38,0.168,66.7
2024,James Ball,CLE,SG,84,2068,1995,448,0.225,659,120,0.182,1336,328,0.246,1016,12.1,0.222,0.255,0.35,11.8,621,198,0.319,715,130,0.182,659,120,0.182,73.5
2024,Devin Lillard,CLE,SG,29,728,720,155,0.215,254,50,0.197,466,105,0.225,360,12.4,0.216,0.25,0.35,11.5,205,46,0.224,261,59,0.226,254,50,0.197,72.4
2024,Bam Mobley,CLE,SG,29,758,708,138,0.195,259,53,0.205,449,85,0.189,329,11.3,0.2,0.232,0.35,11.0,194,40,0.206,255,45,0.176,259,53,0.205,71.4
2024,Giannis George,CLE,SG,57,1521,1248,248,0.199,431,62,0.144,817,186,0.228,558,9.8,0.194,0.224,0.35,10.4,408,100,0.245,409,86,0.21,431,62,0.144,68.2
2024,Jaylen Garland,CLE,PF,29,729,646,140,0.217,208,41,0.197,438,99,0.226,321,11.1,0.218,0.248,0.35,10.8,210,56,0.267,228,43,0.189,208,41,0.197,68.0
2024,Victor Haliburton,CLE,PG,29,711,696,137,0.197,241,35,0.145,455,102,0.224,309,10.7,0.193,0.222,0.35,10.4,214,48,0.224,241,54,0.224,241,35,0.145,68.3
2024,Kevin Garland,CLE,C,29,647,612,131,0.214,218,39,0.179,394,92,0.234,301,10.4,0.213,0.246,0.35,10.5,164,39,0.238,230,53,0.23,218,39,0.179,66.6
2024,Nikola Ball,DAL,PF,29,651,649,142,0.219,231,38,0.165,418,104,0.249,322,11.1,0.214,0.248,0.35,11.0,200,67,0.335,218,37,0.17,231,38,0.165,69.3
2024,Damian Thompson,DAL,SG,29,631,657,119,0.181,200,34,0.17,457,85,0.186,272,9.4,0.183,0.207,0.35,8.8,217,40,0.184,240,45,0.188,200,34,0.17,58.8
2024,Joel Irving,DAL,SG,29,674,690,150,0.217,255,34,0.133,435,116,0.267,334,11.5,0.208,0.242,0.35,10.9,229,62,0.271,206,54,0.262,255,34,0.133,69.9
2024,Joel James,DAL,SG,29,676,628,115,0.183,222,38,0.171,406,77,0.19,268,9.2,0.185,0.213,0.35,9.4,187,44,0.235,219,33,0.151,222,38,0.171,63.0
2024,Giannis Ball,DAL,PF,57,1407,1231,267,0.217,429,75,0.175,802,192,0.239,609,10.7,0.214,0.247,0.35,9.8,394,106,0.269,408,86,0.211,429,75,0.175,61.3
2024,Trae Garland,DAL,C,29,727,662,137,0.207,230,27,0.117,432,110,0.255,301,10.4,0.197,0.227,0.35,10.1,208,62,0.298,224,48,0.214,230,27,0.117,65.7
2024,Kyrie Paul,DAL,PG,29,738,626,105,0.168,226,33,0.146,400,72,0.18,243,8.4,0.167,0.194,0.35,8.9,195,31,0.159,205,41,0.2,226,33,0.146,61.8
2024,Darius Lillard,DAL,SF,29,673,627,131,0.209,235,35,0.149,392,96,0.245,297,10.2,0.203,0.237,0.35,9.8,184,45,0.245,208,51,0.245,235,35,0.149,63.2
