timestamp,road_id,vehicle_volume,average_speed,congestion_index,weather_type,is_weekend,hour,minute
2024-01-01 00:00:00,RD000,220,49.54,1.56,晴天,False,0,0
2024-01-01 00:15:00,RD000,258,48.78,1.74,晴天,False,0,15
2024-01-01 00:30:00,RD000,244,49.06,1.67,晴天,False,0,30
2024-01-01 00:45:00,RD000,267,48.59,1.78,晴天,False,0,45
2024-01-01 01:00:00,RD000,229,49.36,1.6,晴天,False,1,0
2024-01-01 01:15:00,RD000,251,48.92,1.71,晴天,False,1,15
2024-01-01 01:30:00,RD000,196,50.03,1.44,晴天,False,1,30
2024-01-01 01:45:00,RD000,270,48.53,1.8,晴天,False,1,45
2024-01-01 02:00:00,RD000,243,49.08,1.67,晴天,False,2,0
2024-01-01 02:15:00,RD000,245,49.04,1.68,晴天,False,2,15
2024-01-01 02:30:00,RD000,248,48.98,1.69,晴天,False,2,30
2024-01-01 02:45:00,RD000,250,48.94,1.7,晴天,False,2,45
2024-01-01 03:00:00,RD000,237,49.2,1.64,晴天,False,3,0
2024-01-01 03:15:00,RD000,210,49.75,1.51,晴天,False,3,15
2024-01-01 03:30:00,RD000,220,49.54,1.56,晴天,False,3,30
2024-01-01 03:45:00,RD000,248,48.98,1.69,晴天,False,3,45
2024-01-01 04:00:00,RD000,247,49.0,1.69,晴天,False,4,0
2024-01-01 04:15:00,RD000,269,48.55,1.79,晴天,False,4,15
2024-01-01 04:30:00,RD000,220,49.54,1.56,晴天,False,4,30
2024-01-01 04:45:00,RD000,260,48.74,1.75,晴天,False,4,45
2024-01-01 05:00:00,RD000,229,49.36,1.6,晴天,False,5,0
2024-01-01 05:15:00,RD000,172,50.52,1.33,晴天,False,5,15
2024-01-01 05:30:00,RD000,264,48.65,1.77,晴天,False,5,30
2024-01-01 05:45:00,RD000,238,49.18,1.65,晴天,False,5,45
2024-01-01 06:00:00,RD000,1015,33.45,5.38,晴天,False,6,0
2024-01-01 06:15:00,RD000,765,38.51,4.18,晴天,False,6,15
2024-01-01 06:30:00,RD000,890,35.98,4.78,晴天,False,6,30
2024-01-01 06:45:00,RD000,875,36.28,4.71,晴天,False,6,45
2024-01-01 07:00:00,RD000,1598,21.64,8.19,晴天,False,7,0
2024-01-01 07:15:00,RD000,1575,22.11,8.08,晴天,False,7,15
2024-01-01 07:30:00,RD000,1269,28.3,6.61,晴天,False,7,30
2024-01-01 07:45:00,RD000,1712,21.6,8.55,晴天,False,7,45
2024-01-01 08:00:00,RD000,1528,23.06,7.85,晴天,False,8,0
2024-01-01 08:15:00,RD000,1459,24.46,7.52,晴天,False,8,15
2024-01-01 08:30:00,RD000,1793,21.6,8.8,晴天,False,8,30
2024-01-01 08:45:00,RD000,1650,21.6,8.36,晴天,False,8,45
2024-01-01 09:00:00,RD000,1764,21.6,8.71,晴天,False,9,0
